window,name,sharpe,sortino,max_drawdown,profit_factor,win_rate,total_return,annualised_return,calmar,n_trades,avg_trade_pct,initial_equity,final_equity
W1,buy_and_hold_btc,0.3948,0.4781,-0.7282,999.0,1.0,0.0429,0.0159,0.0219,1,0.0439,100.0,104.2865
W1,supertrend_baseline,0.8947,0.8315,-0.1916,1.5793,0.3881,0.513,0.1688,0.8814,67,0.0196,100.0,151.3034
W1,h1_fg_filter,0.276,0.1515,-0.1019,1.3754,0.4286,0.07,0.0258,0.2535,21,0.011,100.0,107.0039
W1,h1_fg_standalone,-0.005,-0.0055,-0.3771,0.2133,0.5,-0.0687,-0.0265,-0.0702,2,-0.0818,100.0,93.1268
W1,h3_funding_filter,0.2714,0.1452,-0.1103,1.2638,0.3704,0.0633,0.0234,0.2121,27,0.0086,100.0,106.3279
W1,h3_funding_standalone,0.967,0.5412,-0.1117,165.6371,0.75,0.3239,0.1115,0.998,4,0.1956,100.0,132.3936
W1,h5_dxy_filter,1.0282,0.6938,-0.1611,1.9366,0.3714,0.43,0.1443,0.8954,35,0.0304,100.0,143.0019
W1,h5_dxy_standalone,0.0895,0.0771,-0.2454,0.9996,0.413,-0.0003,-0.0001,-0.0004,46,0.0046,100.0,99.9719
W2,buy_and_hold_btc,0.8954,1.1813,-0.7704,999.0,1.0,1.8487,0.4645,0.6029,1,1.8515,100.0,284.8671
W2,supertrend_baseline,1.4502,1.4618,-0.2559,1.7487,0.3188,1.1448,0.3206,1.2528,69,0.0348,100.0,214.478
W2,h1_fg_filter,-0.5004,-0.2635,-0.1659,0.5899,0.2759,-0.1525,-0.0585,-0.3527,29,-0.0113,100.0,84.7504
W2,h1_fg_standalone,-0.1477,-0.1495,-0.3059,0.5398,0.3333,-0.0952,-0.0358,-0.117,3,-0.0619,100.0,90.479
W2,h3_funding_filter,1.1919,1.1236,-0.2378,1.6785,0.3385,0.6806,0.2083,0.8757,65,0.025,100.0,168.0565
W2,h3_funding_standalone,0.419,0.4157,-0.308,2.7612,0.6667,0.168,0.0582,0.189,3,0.1463,100.0,116.796
W2,h5_dxy_filter,0.9422,0.7205,-0.3172,1.5699,0.2558,0.4452,0.1436,0.4529,43,0.0291,100.0,144.5214
W2,h5_dxy_standalone,0.1898,0.1682,-0.4142,1.0704,0.413,0.0506,0.0181,0.0438,46,0.0086,100.0,105.0583
W3,buy_and_hold_btc,0.8773,1.1572,-0.4984,999.0,1.0,1.2728,0.3454,0.6931,1,1.2751,100.0,227.2776
W3,supertrend_baseline,0.4207,0.4198,-0.1618,1.1714,0.3974,0.1354,0.047,0.2903,78,0.0071,100.0,113.5395
W3,h1_fg_filter,-0.7475,-0.2988,-0.1744,0.3996,0.2667,-0.1041,-0.039,-0.2233,15,-0.0158,100.0,89.5895
W3,h1_fg_standalone,0.1355,0.1081,-0.1868,1.1363,0.6667,0.0251,0.009,0.0481,3,0.0411,100.0,102.5052
W3,h3_funding_filter,0.5246,0.5386,-0.1618,1.2207,0.4079,0.1735,0.0595,0.3679,76,0.0083,100.0,117.346
W3,h3_funding_standalone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,100.0
W3,h5_dxy_filter,-0.321,-0.2249,-0.1334,0.7829,0.3478,-0.0894,-0.0333,-0.2494,46,-0.0025,100.0,91.0622
W3,h5_dxy_standalone,0.1578,0.1361,-0.2514,1.0578,0.36,0.033,0.0118,0.047,50,0.0049,100.0,103.3001
